nombre_paradero;coordenadas;rutas;network;tipos_ruta;fuente;highway;public_transport;name
Hogar De Bien;10.374425226113333, -75.47186785543204;A103, X105;Transcaribe;Pretroncales, Alimentadoras;csv_2025;bus_stop;platform;Hogar De Bien
Hogar Infantil Dulces Sonrisas;10.400757592439142, -75.50207655787379;C001, X103;Transcaribe;Pretroncales, Complementarias;csv_2025;bus_stop;platform;Hogar Infantil Dulces Sonrisas
Hogar San Pedro Claver;10.397901466415798, -75.5218628786824;X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Hogar San Pedro Claver
Hospital Universitario.;10.40181317333847, -75.50379551815742;C001, X103;Transcaribe;Pretroncales, Complementarias;csv_2025;bus_stop;platform;Hospital Universitario.
;;;;;;;;
Hotel La Estancia;10.379851296916003, -75.50196725745326;A108;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Hotel La Estancia
I.E Las Gaviotas;10.398829436278787, -75.49177989510547;X101;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;I.E Las Gaviotas
I.E. Soledad Acosta De Samper;10.380085730664888, -75.47497248518569;A103;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;I.E. Soledad Acosta De Samper
Iglesia Cristiana El Acta Del Pacto;10.373973701898882, -75.47540861750593;A104, C001;Transcaribe;Alimentadoras, Complementarias;csv_2025;bus_stop;platform;Iglesia Cristiana El Acta Del Pacto
Iglesia Cristiana Sendero De Salvacion;10.36656281679068, -75.47713570360662;A103, A104;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Iglesia Cristiana Sendero De Salvacion
Iglesia La Consolata;10.378566094248509, -75.4799721425692;A104;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Iglesia La Consolata
Iglesia Nuestra Señora del Carmelo;10.380081491925099, -75.48976220270514;A107, C001, X105;Transcaribe;Pretroncales, Alimentadoras;csv_2025;bus_stop;platform;Iglesia Nuestra Señora del Carmelo
Iglesia Nuestra Señora del Carmelo;10.380094023832044, -75.48977896688166;A107, C001, X105;Transcaribe;Pretroncales, Alimentadoras;csv_2025;bus_stop;platform;Iglesia Nuestra Señora del Carmelo
Iglesia San Enrique;10.392311807487067, -75.49947515150548;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Iglesia San Enrique
Iglesia San Enrique;10.392316421750436, -75.49947179733385;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Iglesia San Enrique
Inicio Mandela;10.364731080764347, -75.48289969674008;A103;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Inicio Mandela
Institucion Educativa 20 De Julio;10.375323918209036, -75.50007361909839;A108;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Institucion Educativa 20 De Julio
Institucion Educativa Fe y Alegria El Progreso;10.375316655216235, -75.48821724778797;A107, C001;Transcaribe;Alimentadoras, Complementarias;csv_2025;bus_stop;platform;Institucion Educativa Fe y Alegria El Progreso
Institucion Educativa San Lucas;10.377052694143492, -75.49085117842502;A107, C001;Transcaribe;Alimentadoras, Complementarias;csv_2025;bus_stop;platform;Institucion Educativa San Lucas
Institucion Educativa San Lucas;10.377073799177117, -75.49085855355116;A107, C001;Transcaribe;Alimentadoras, Complementarias;csv_2025;bus_stop;platform;Institucion Educativa San Lucas
Junín Mz E Lt 16;10.400322629484076, -75.51162388182638;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Junín Mz E Lt 16
Kiosko 61-21;10.380841984872065, -75.4920400679525;C001, X105;Transcaribe;Pretroncales, Complementarias;csv_2025;bus_stop;platform;Kiosko 61-21
Kr 45 entre Cl 29 y 30;10.405050142382178, -75.51052417733179;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Kr 45 entre Cl 29 y 30
Kr 68 entre Cl 16 y 17;10.380595302929576, -75.48770293569466;A107;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Kr 68 entre Cl 16 y 17
Kr 68 entre Cl 19 y 21;10.383165003549276, -75.4863886512301;A107;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Kr 68 entre Cl 19 y 21
Kr 68 entre Cl 22 y 24;10.385059285354235, -75.48568591360339;A107;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Kr 68 entre Cl 22 y 24
Kr 68 entre Cl 22A y 22;10.385180646542167, -75.48584148168082;A107;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Kr 68 entre Cl 22A y 22
Kr 68 entre Cl 26 y 26A;10.387647421157038, -75.48563428213042;A107;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Kr 68 entre Cl 26 y 26A
Kr 68 entre Kr 66 y Cl 25;10.387747675081775, -75.4858381296176;A107;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Kr 68 entre Kr 66 y Cl 25
Kr 78A con Cl 4;10.372050826204225, -75.48162411525577;A107;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Kr 78A con Cl 4
Kr 78A entre Cl 3J y 3O;10.370367391600288, -75.48308488510627;A107;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Kr 78A entre Cl 3J y 3O
Kr 78A entre Cl 3O y 4;10.371614123228667, -75.4819463463626;A107;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Kr 78A entre Cl 3O y 4
Kr 78A La Gitana Mz F;10.36885757573364, -75.48433736081479;A107;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Kr 78A La Gitana Mz F
Kr 80B entre Cl 4C y 4F;10.373184849242277, -75.47896751555477;A107;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Kr 80B entre Cl 4C y 4F
